day,operate,price,investment,total_balance
0,buy,317.2962957183481,0.0,9682.703704281652
1,buy,316.91267809066994,0.0,9365.791026190982
2,sell,329.326744889142,3.7915504634421717,9695.117771080124
4,sell,332.004344671077,4.762089882718183,10027.1221157512
7,buy,328.6952017764561,0.0,9698.426913974745
9,buy,345.4195722937584,0.0,9353.007341680986
10,sell,360.63174571897616,9.71615763476826,9713.639087399963
12,sell,371.40666869742563,7.523342186749854,10085.045756097388
16,buy,356.3558504287357,0.0,9728.689905668653
17,buy,363.9945565481612,0.0,9364.695349120491
19,sell,367.53953277714027,3.138346777511673,9732.234881897632
22,sell,368.17095298030836,1.1473788157034064,10100.40583487794
25,buy,360.26052441831416,0.0,9740.145310459626
26,sell,361.78223192657606,0.4223908547068501,10101.927542386202
30,buy,339.4909769296646,0.0,9762.436565456537
31,buy,336.9456272235693,0.0,9425.490938232968
32,buy,325.8979405456048,0.0,9099.592997687363
36,buy,314.5279703078377,0.0,8785.065027379525
37,buy,312.5224950747943,0.0,8472.542532304731
38,buy,315.58675129422045,0.0,8156.955781010511
39,buy,312.3917383835469,0.0,7844.564042626964
41,buy,312.132551278919,0.0,7532.431491348045
42,buy,298.25517690940615,0.0,7234.176314438639
43,buy,293.40876052636304,0.0,6940.767553912276
44,buy,294.4915245525772,0.0,6646.276029359698
45,buy,296.2666440215253,0.0,6350.009385338173
46,buy,305.25459903783485,0.0,6044.754786300338
47,buy,311.7436550794591,0.0,5733.011131220879
48,buy,305.41385066509247,0.0,5427.597280555787
49,buy,307.14266937138746,0.0,5120.454611184399
50,buy,308.07320635261567,0.0,4812.381404831784
51,buy,296.32904773674454,0.0,4516.052357095039
52,buy,323.24039846217784,0.0,4192.811958632861
53,buy,331.46999420911015,0.0,3861.341964423751
54,buy,331.04768754453835,0.0,3530.2942768792127
55,buy,327.11728751364353,0.0,3203.176989365569
57,buy,341.9940622345166,0.0,2861.1829271310526
59,buy,350.7007180844339,0.0,2510.4822090466187
60,buy,348.8141869008541,0.0,2161.6680221457646
61,buy,344.2634439511494,0.0,1817.4045781946152
62,sell,341.20607679453315,0.5051974813527569,2158.6106549891483
65,buy,332.94409586081383,0.0,1825.6665591283345
66,buy,348.21053582662717,0.0,1477.4560233017073
71,buy,327.68511913031034,0.0,1149.770904171397
72,sell,330.4409730233565,-1.9304759209404652,1480.2118771947535
73,buy,331.6572139288546,0.0,1148.5546632658989
74,buy,325.35302395345207,0.0,823.2016393124468
76,sell,328.5034246524483,0.7994785430314508,1151.705063964895
79,buy,318.7189852205556,0.0,832.9860787443395
80,buy,320.3861304702368,0.0,512.5999482741026
84,sell,333.94463796468335,6.173272169671275,846.544586238786
85,buy,337.2920396552872,0.0,509.25254658349877
86,sell,346.83437919293647,10.979012601934627,856.0869257764352
87,buy,342.09707319592417,0.0,513.9898525805111
88,buy,338.24323656092747,0.0,175.7466160195836
93,sell,366.3526361208351,16.08619012630406,542.0992521404187
94,sell,359.3377426099323,15.027927585186731,901.436994750351
96,buy,362.6532064676285,0.0,538.7837882827225
98,buy,396.66067570485757,0.0,142.12311257786496
100,sell,405.6766330264509,29.969345191409307,547.7997456043158
101,sell,402.64836575456866,35.0012998690955,950.4481113588845
102,sell,405.49242720446637,38.200518102128214,1355.9405385633509
103,sell,401.0868261495307,36.19639028963717,1757.0273647128815
104,sell,401.6336837959716,35.56493513552301,2158.661048508853
105,sell,411.42709128906426,34.78161920766666,2570.0881397979174
107,sell,426.51060438410786,36.814526112936065,2996.5987441820253
108,sell,438.5478183789237,43.59133268642157,3435.146562560949
109,sell,443.5762701443309,44.42026926840704,3878.72283270528
110,sell,448.1094676008579,45.455514585698495,4326.832300306138
111,sell,434.74203854302687,46.70922134142141,4761.574338849165
112,sell,437.60184422535536,35.37968840134285,5199.17618307452
113,sell,427.51829823735176,28.97647018017832,5626.694481311872
115,sell,427.55394047640584,29.15176772496977,6054.2484217882775
117,sell,421.0490194759477,28.715000872091313,6475.297441264225
118,sell,434.0726501008867,26.924031155613676,6909.370091365112
119,sell,431.99983635911485,23.18190812917228,7341.369927724227
120,sell,443.59819167875685,27.17320806818097,7784.968119402984
122,sell,447.9177205405613,30.10899891076449,8232.885839943545
123,sell,440.9004278297143,32.4247623883474,8673.78626777326
124,sell,440.151113944019,26.403732414107296,9113.937381717278
125,sell,444.06502811525206,35.51577480656392,9558.00240983253
126,sell,442.7955391739597,33.50999784643488,10000.79794900649
127,sell,446.5964203670956,37.26518196769234,10447.394369373586
128,sell,453.2668882444559,42.21521442495566,10900.661257618041
130,sell,453.2067619898008,41.456423636260595,11353.868019607842
131,sell,477.5164189117132,41.57358098333284,11831.384438519555
132,sell,480.18415596284103,40.36488283190669,12311.568594482396
134,sell,430.32558649778366,27.22370767058027,12741.89418098018
135,buy,431.42995296089794,0.0,12310.464228019282
136,buy,430.88846110861056,0.0,11879.575766910672
139,buy,429.1044762563761,0.0,11450.471290654295
144,sell,432.71792756707873,19.320033533387342,11883.189218221374
145,buy,442.12569930241443,0.0,11441.06351891896
148,sell,431.841379895086,8.869219044139696,11872.904898814046
149,sell,423.7561876145264,-1.7786816361976174,12296.661086428572
152,buy,417.57307137528556,0.0,11879.088015053287
153,buy,405.24305033683777,0.0,11473.844964716449
156,buy,416.13828788509636,0.0,11057.706676831353
157,buy,430.72671695222385,0.0,10626.979959879129
158,buy,410.193055258671,0.0,10216.786904620458
159,buy,419.7369501899193,0.0,9797.049954430538
162,buy,438.4715458792598,0.0,9358.578408551279
164,sell,442.593712584101,2.716538624723118,9801.17212113538
166,sell,448.1767062525905,4.444658830550023,10249.34882738797
167,sell,445.4962308494287,0.762346896444218,10694.845058237399
170,buy,436.4058360291529,0.0,10258.439222208246
172,buy,402.30992012354545,0.0,9856.1293020847
173,buy,398.8476180146245,0.0,9457.281684070076
175,buy,398.1851666823714,0.0,9059.096517387705
176,buy,388.24516290239995,0.0,8670.851354485305
177,buy,386.163750151587,0.0,8284.687604333718
178,buy,381.91510081606975,0.0,7902.772503517648
181,buy,380.03105486528875,0.0,7522.741448652359
182,buy,378.4394613457989,0.0,7144.3019873065605
183,buy,379.1421211491943,0.0,6765.159866157366
184,buy,381.5467457592058,0.0,6383.61312039816
186,buy,377.98608631520983,0.0,6005.627034082951
187,buy,373.8535924918433,0.0,5631.773441591107
188,buy,382.8810813742166,0.0,5248.892360216891
189,buy,387.3483584786664,0.0,4861.544001738224
191,buy,367.34165245210903,0.0,4494.202349286115
192,buy,362.8670610991249,0.0,4131.3352881869905
193,buy,357.49184482658166,0.0,3773.843443360409
194,buy,362.69795912739943,0.0,3411.1454842330095
195,buy,358.0426149257255,0.0,3053.102869307284
196,buy,348.6428292745477,0.0,2704.4600400327363
197,buy,404.9094396841356,0.0,2299.5506003486007
200,buy,417.3260644151014,0.0,1882.2245359334993
201,sell,414.8196442425251,-0.6593880979182865,2297.0441801760244
202,buy,407.3183759321146,0.0,1889.7258042439098
204,buy,413.83438098058105,0.0,1475.8914232633288
205,buy,414.79845874007157,0.0,1061.0929645232573
207,sell,426.9967684965195,5.368066927144109,1488.0897330197768
209,sell,436.79708176045096,4.964405938311278,1924.8868147802277
210,sell,436.57864454071387,1.3586172759139779,2361.4654593209416
211,sell,438.64611219953804,6.936503818409193,2800.1115715204796
213,sell,449.4821060358663,7.086618376697157,3249.593677556346
214,sell,447.2585821863322,2.0040151726269744,3696.852259742678
215,sell,451.66778611011614,3.497192021956301,4148.520045852794
216,sell,465.20616834459366,15.633780097128449,4613.726214197388
217,sell,470.4085206041855,17.94191549789752,5084.134734801573
218,sell,469.4823879522737,17.905544263223504,5553.617122753847
219,sell,478.22074618231636,23.174939929009536,6031.837868936163
220,sell,478.822714428301,23.994733902480778,6510.660583364464
221,sell,482.06236362457275,26.222388848859346,6992.722946989037
222,sell,483.84291027749714,27.31667690920865,7476.565857266534
223,sell,483.5929324793469,27.786074623297296,7960.158789745881
224,sell,483.52812910079956,27.53215802960834,8443.68691884668
225,sell,480.868445195898,26.031331819921782,8924.555364042579
226,sell,476.5797548754672,26.083941216301337,9401.135118918046
227,sell,467.74628022755496,25.11482827004269,9868.8813991456
229,sell,456.15897766190756,19.138552373673257,10325.040376807508
231,sell,453.04887866973877,16.961610589784105,10778.089255477247
232,sell,454.97216654525255,23.855316571966494,11233.0614220225
233,sell,461.51124519266887,27.184662006727912,11694.572667215169
234,sell,464.6462684869766,29.973949115503686,12159.218935702145
235,sell,481.78747279251183,32.83434898603376,12641.006408494657
236,sell,471.94614057334184,31.812840399248334,13112.952549067999
237,sell,474.4900749772278,36.096324127629906,13587.442624045227
238,sell,488.75446094250947,20.7071046117819,14076.197084987736
239,sell,497.9449863189984,19.31796951548845,14574.142071306735
240,sell,492.42901624977094,20.89535983317415,15066.571087556506
241,sell,495.0420979478513,19.62324076961621,15561.613185504357
