day,operate,price,investment,total_balance
0,buy,226.6609271463385,0.0,9773.339072853661
1,buy,229.09458832310338,0.0,9544.244484530558
2,buy,229.9735760094372,0.0,9314.27090852112
3,buy,237.34585006231643,0.0,9076.925058458804
4,buy,239.44386348361698,0.0,8837.481194975187
5,buy,239.61510871199422,0.0,8597.866086263193
6,buy,240.7704448687509,0.0,8357.095641394442
7,buy,236.92186174791274,0.0,8120.1737796465295
8,buy,233.40729181392817,0.0,7886.766487832601
9,buy,241.19581708450278,0.0,7645.570670748099
10,buy,244.2108205799177,0.0,7401.359850168181
11,sell,246.98916196446226,8.968565987113996,7648.349012132643
12,buy,243.52648268485794,0.0,7404.822529447785
13,buy,248.86938571929932,0.0,7155.953143728486
14,sell,250.1854318154728,9.206172719638396,7406.138575543959
15,buy,243.99178028195274,0.0,7162.146795262006
16,buy,249.8747539483738,0.0,6912.272041313632
17,buy,252.76853004097939,0.0,6659.503511272653
18,buy,264.70788240681577,0.0,6394.795628865837
19,buy,259.67067396184575,0.0,6135.124954903991
20,buy,257.85750924821696,0.0,5877.267445655774
21,buy,267.43881008497186,0.0,5609.828635570802
22,buy,267.17707251959655,0.0,5342.651563051206
23,buy,264.70437902826234,0.0,5077.9471840229435
24,buy,264.3837331831237,0.0,4813.56345083982
26,sell,270.9539188911567,17.819587620813373,5084.5173697309765
27,buy,268.99420125075267,0.0,4815.523168480224
28,buy,261.34992872849216,0.0,4554.173239751732
29,sell,257.6630145027047,8.560151540485704,4811.836254254436
30,buy,251.63991845460168,0.0,4560.196335799835
31,sell,251.4449928202521,5.0120847375386015,4811.641328620087
34,buy,249.39138699360043,0.0,4562.249941626486
36,sell,247.16711602098437,3.15172417531788,4809.417057647471
38,buy,254.757325559558,0.0,4554.659732087913
41,buy,254.02635343874317,0.0,4300.63337864917
43,buy,251.05028994988973,0.0,4049.58308869928
44,buy,255.24272013664086,0.0,3794.340368562639
45,sell,264.1020316553513,9.690386541969035,4058.4424002179903
47,sell,276.82283299337723,16.84140541151054,4335.265233211368
