day,operate,price,investment,total_balance
4,buy,352.25122383007334,0.0,9647.748776169927
5,sell,372.66481244564056,5.795178904875793,10020.413588615567
7,buy,341.1063066634615,0.0,9679.307281952106
8,sell,353.3181334733963,3.580064798386471,10032.625415425502
9,buy,341.8301347161396,0.0,9690.795280709362
10,sell,349.69527684872446,2.3008919734698643,10040.490557558087
15,buy,355.28502551390375,0.0,9685.205532044183
16,buy,363.6337210138845,0.0,9321.571811030299
17,sell,363.5391926217653,2.32325218208178,9685.111003652064
18,sell,380.87314727974444,4.740876676066492,10065.984150931808
28,buy,361.06203481821655,0.0,9704.922116113592
30,sell,360.98962165055127,-0.020055602827844354,10065.911737764143
31,buy,361.3630784274428,0.0,9704.5486593367
32,sell,364.79592483611486,0.9499715420875023,10069.344584172815
33,buy,352.9505431343623,0.0,9716.394041038453
34,sell,361.34625166204023,2.3787209542504715,10077.740292700493
36,buy,349.3962505856507,0.0,9728.344042114843
37,buy,346.40058661748117,0.0,9381.943455497361
38,sell,351.48886165939075,0.5989220176897875,9733.432317156752
40,buy,343.7955002622057,0.0,9389.636816894546
42,buy,337.015968005735,0.0,9052.620848888811
43,buy,330.2568095885799,0.0,8722.364039300232
44,buy,310.93164742484805,0.0,8411.432391875383
45,buy,322.9162543807288,0.0,8088.516137494655
46,buy,308.6822876572478,0.0,7779.833849837407
47,buy,319.5108528386336,0.0,7460.322996998773
48,buy,308.3209599457987,0.0,7152.002037052975
49,buy,308.5171622113594,0.0,6843.484874841615
51,buy,311.93059472028835,0.0,6531.554280121327
52,buy,319.32706037498065,0.0,6212.227219746346
53,buy,311.20775470939043,0.0,5901.019465036956
54,buy,319.06167901073786,0.0,5581.957786026218
55,buy,320.8876901766562,0.0,5261.070095849562
56,sell,326.68034235361847,-5.6929015208739,5587.75043820318
58,buy,327.1046820929041,0.0,5260.645756110276
59,sell,323.52630810558367,-5.895711881383881,5584.17206421586
60,buy,327.99575679322515,0.0,5256.176307422635
61,sell,320.8125114384711,-4.807919536616177,5576.988818861106
62,sell,319.82086558456285,-3.159948167917487,5896.809684445669
63,sell,329.5088691659694,5.974696334380507,6226.318553611638
64,sell,327.7097905334813,1.4844518006519298,6554.028344145119
65,sell,334.778492602607,8.454066199721735,6888.806836747726
67,sell,330.3618153509433,3.3961170382496833,7219.16865209867
69,sell,335.10388025520297,8.686701129275349,7554.2725323538725
70,buy,336.51222558405425,0.0,7217.760306769818
71,sell,340.7186044734626,10.437488155048767,7558.478911243281
72,sell,341.9647383865595,9.628469978458853,7900.44364962984
74,sell,341.4649428819248,6.932667241212815,8241.908592511765
75,sell,336.94243167599774,8.269291679649392,8578.851024187763
76,sell,339.2204425863438,6.3181400029326245,8918.071466774107
77,sell,336.86770539380086,4.979940242752008,9254.939172167908
78,sell,336.0782031452254,2.7433178256288753,9591.017375313133
79,buy,326.1481379279285,0.0,9264.869237385205
80,sell,328.4672279093829,0.14374305349779173,9593.336465294587
81,buy,321.55800010394887,0.0,9271.778465190639
82,buy,323.4364987683166,0.0,8948.341966422322
83,buy,322.69148573243,0.0,8625.650480689892
84,buy,320.5609451656819,0.0,8305.08953552421
85,buy,318.87574912207856,0.0,7986.2137864021315
87,buy,318.86820673942566,0.0,7667.345579662706
88,buy,324.7344174740647,0.0,7342.611162188641
89,buy,317.79814732638255,0.0,7024.813014862259
90,buy,327.35615072077053,0.0,6697.456864141488
92,buy,326.5717264394516,0.0,6370.885137702036
93,buy,325.35805039785555,0.0,6045.527087304181
94,buy,322.14264937209737,0.0,5723.3844379320835
95,sell,324.93249591612397,-3.441102220827899,6048.316933848208
96,buy,323.90170342478086,0.0,5724.415230423427
97,sell,327.1539831008704,0.30840132319387553,6051.569213524297
100,buy,313.4123466352776,0.0,5738.1568668890195
101,buy,324.9468535476735,0.0,5413.210013341346
102,sell,322.52500232869346,0.3007240449411897,5735.7350156700395
103,buy,325.4117144387965,0.0,5410.323301231243
105,sell,335.9094638637798,3.856387619505439,5746.232765095023
106,sell,336.4539232898933,4.264890201929542,6082.686688384916
107,sell,337.4015779839683,5.253488633676917,6420.088266368884
108,sell,339.755931943655,6.5480623343303135,6759.844198312539
109,buy,333.4624872982422,0.0,6426.381711014297
110,sell,334.0201724826329,4.7517957020999635,6760.40188349693
111,sell,336.2865357986083,3.5574049755493706,7096.688419295539
112,sell,329.0656931434605,3.545503934453736,7425.754112438999
113,sell,318.53511282323234,-2.6946302606858277,7744.289225262231
114,buy,318.12876124042305,0.0,7426.160464021808
115,buy,311.6154361963072,0.0,7114.545027825501
116,buy,305.1661167681232,0.0,6809.378911057378
118,buy,311.9520490590003,0.0,6497.426861998378
119,buy,323.30548960322267,0.0,6174.121372395155
120,buy,316.0181016851184,0.0,5858.103270710037
121,buy,321.97699952281255,0.0,5536.126271187224
122,buy,318.31332357295105,0.0,5217.812947614273
123,buy,311.6847714185715,0.0,4906.128176195702
124,buy,317.62870989426665,0.0,4588.499466301435
125,buy,320.2336765207983,0.0,4268.265789780637
126,sell,322.4603046943812,-1.2589643904254781,4590.726094475018
128,sell,328.64116360274056,1.0090769848388086,4919.367258077758
130,buy,327.2064480783956,0.0,4592.160809999363
131,sell,338.3704596602074,5.0374609880872345,4930.53126965957
132,sell,340.1986028648207,5.031433693532413,5270.729872524391
133,sell,351.03904147115827,12.005492202152272,5621.768913995549
134,sell,351.2463675123854,8.093481650178044,5973.015281507935
135,sell,363.96337707262137,11.847042046507424,6336.978658580556
136,sell,352.49365727460827,5.707139693750611,6689.472315855164
137,sell,355.3750031215131,11.70791403325571,7044.847318976677
138,sell,354.7271039390762,13.834894788591312,7399.5744229157535
139,sell,353.6362297434789,15.88318961773373,7753.210652659232
141,sell,359.6548668879732,15.291714855814508,8112.865519547206
142,sell,351.7397084824188,8.794845678027947,8464.605228029624
143,sell,350.46348061388017,10.899811987062465,8815.068708643505
144,sell,345.8410889096358,7.411737304897907,9160.90979755314
145,sell,346.1938450860361,8.758829570856905,9507.103642639177
146,sell,344.0806736000668,10.393803339846153,9851.184316239243
148,sell,337.60656674148595,6.289688628546708,10188.79088298073
149,sell,334.33136776379433,4.402313771668671,10523.122250744524
150,buy,335.03007288066146,0.0,10188.092177863862
151,buy,330.43556107555196,0.0,9857.65661678831
152,buy,323.94945734999055,0.0,9533.70715943832
153,buy,322.34189378941664,0.0,9211.365265648903
154,buy,322.6237108434543,0.0,8888.741554805449
155,buy,321.7778891489433,0.0,8566.963665656505
156,buy,316.95485669223854,0.0,8250.008808964267
157,buy,317.9225357038031,0.0,7932.086273260464
158,buy,325.7734353658707,0.0,7606.312837894593
159,buy,326.6467205477966,0.0,7279.666117346796
160,buy,322.132281864815,0.0,6957.533835481981
162,buy,327.66474533483415,0.0,6629.869090147147
163,buy,325.39386151809776,0.0,6304.4752286290495
