day,operate,price,investment,total_balance
1,buy,108.69852427620572,0.0,9891.301475723794
3,buy,111.714205109025,0.0,9779.58727061477
5,sell,112.62188506010261,3.6093965488689954,9892.209155674871
6,sell,113.22432668169404,1.3517722040767026,10005.433482356566
10,buy,112.9873473544276,0.0,9892.446135002137
11,sell,114.35842484609022,1.2134787865775043,10006.804559848228
12,buy,112.77514116877319,0.0,9894.029418679454
13,sell,117.75704010004394,4.417550605248286,10011.7864587795
17,buy,115.46005269378928,0.0,9896.326406085711
19,sell,112.74886392191003,-2.3481617309404608,10009.075270007621
20,buy,111.83947430820353,0.0,9897.235795699416
22,buy,114.56528075134703,0.0,9782.67051494807
23,buy,113.94195069619127,0.0,9668.728564251878
24,sell,118.94425501157004,6.35265924425519,9787.67281926345
25,buy,117.233914515612,0.0,9670.438904747838
26,sell,116.48079919957856,1.671988612666147,9786.919703947417
27,sell,115.69245362142647,1.5363111782267478,9902.612157568843
28,sell,115.27404253352324,-1.6717619557331773,10017.886200102366
30,buy,111.59271304984033,0.0,9906.293487052526
31,buy,109.7508018857643,0.0,9796.542685166762
33,buy,110.19065269827843,0.0,9686.352032468483
34,buy,112.6256964481672,0.0,9573.726336020316
36,buy,110.69946563169924,0.0,9463.026870388618
38,buy,112.54504506922969,0.0,9350.481825319388
39,sell,113.47555229069987,1.6872421051530597,9463.957377610088
40,buy,111.33651738613298,0.0,9352.620860223955
41,sell,110.11682597577965,0.33350470677774674,9462.737686199735
42,buy,108.80644922295913,0.0,9353.931236976776
44,buy,105.54268961287835,0.0,9248.388547363898
45,buy,106.639507261807,0.0,9141.749040102091
46,buy,101.50356251401901,0.0,9040.245477588072
47,buy,101.21713401329907,0.0,8939.028343574773
48,buy,100.35357328438477,0.0,8838.674770290389
49,buy,101.98073107507936,0.0,8736.694039215308
51,buy,104.26569484475294,0.0,8632.428344370555
53,buy,103.76333167039411,0.0,8528.665012700161
56,sell,109.43237165054143,-0.6881536946816247,8638.097384350702
57,sell,112.63406999652578,0.007434847128719549,8750.731454347228
58,sell,111.19787766347144,0.45023887778323857,8861.929332010699
59,sell,117.39817005734402,4.312162285890983,8979.327502068043
60,sell,115.48315578301026,3.7244189904881515,9094.810657851052
61,sell,116.91015532758591,7.447817810892064,9211.720813178637
62,sell,114.95120683944423,8.914418668953314,9326.67202001808
63,sell,114.94910901873482,7.792235701659049,9441.621129036816
64,sell,115.82937856278477,14.113609112770964,9557.4505075996
65,sell,115.59325101480135,14.203244481920798,9673.043758614402
67,sell,116.40743826971628,15.99730279642123,9789.451196884118
68,buy,114.54464769180687,0.0,9674.90654919231
70,sell,116.75915513465952,14.49138862193498,9791.66570432697
72,sell,115.90504337415543,11.16316209922445,9907.570747701126
73,buy,117.70472863999204,0.0,9789.866019061134
74,sell,117.25026348871143,12.99778216562935,9907.116282549845
76,sell,118.27931028372585,3.2604426895331127,10025.39559283357
78,sell,114.56807666941314,-2.664847884040887,10139.963669502984
80,buy,108.12419074709487,0.0,10031.83947875589
81,buy,105.46973591550568,0.0,9926.369742840385
82,buy,108.35619935421619,0.0,9818.01354348617
83,buy,108.76581134365188,0.0,9709.247732142518
84,buy,108.650316628572,0.0,9600.597415513945
86,buy,105.30982504131089,0.0,9495.287590472633
88,buy,104.93450078288333,0.0,9390.35308968975
89,buy,102.19278259395105,0.0,9288.160307095799
90,buy,104.94800377808497,0.0,9183.212303317714
91,buy,105.8308087222349,0.0,9077.38149459548
95,sell,107.58348086856131,-0.5000822432033694,9184.964975464041
96,buy,105.41013737646972,0.0,9079.554838087572
99,buy,103.49762236988681,0.0,8976.057215717685
101,buy,106.75050363634001,0.0,8869.306712081345
102,buy,105.91098866406628,0.0,8763.395723417278
105,sell,108.11927390415802,2.5121310541395014,8871.514997321436
107,buy,105.99882093319776,0.0,8765.516176388237
109,buy,105.62758576590932,0.0,8659.888590622328
111,buy,105.60331113413211,0.0,8554.285279488196
112,buy,102.55412803452782,0.0,8451.731151453669
114,buy,103.57923025717717,0.0,8348.151921196491
115,buy,102.30492095805585,0.0,8245.847000238435
117,buy,104.8935049336087,0.0,8140.953495304826
119,sell,108.96059333772975,0.557784406536628,8249.914088642556
120,sell,108.0242714881897,-0.6817766045244132,8357.938360130745
121,sell,107.67181623993656,-0.9005959844373989,8465.610176370683
122,sell,107.26492985391451,1.8565265034261282,8572.875106224597
123,buy,103.34839553547683,0.0,8469.52671068912
125,buy,104.88531476714705,0.0,8364.641395921974
127,buy,106.17946897950831,0.0,8258.461926942466
128,buy,104.15133171694833,0.0,8154.310595225517
130,buy,101.21319404577115,0.0,8053.097401179746
131,buy,100.97135680582325,0.0,7952.126044373923
133,buy,103.50718081699233,0.0,7848.618863556931
134,buy,103.98672352972426,0.0,7744.632140027206
136,sell,106.02507315735329,1.039288667057583,7850.65721318456
139,sell,106.048828534731,3.7733055533886546,7956.706041719291
141,sell,108.42603095415508,3.314047957905407,8065.132072673446
142,sell,105.9997531988347,0.1596363843757489,8171.13182587228
144,sell,107.6951491237469,2.167734341447937,8278.826974996027
145,buy,107.55171984624941,0.0,8171.275255149778
147,buy,109.68716832354404,0.0,8061.588086826234
149,sell,111.10519917374221,7.350484609846323,8172.693285999976
150,sell,111.53809285311856,4.484839933953015,8284.231378853096
151,buy,108.68159158565322,0.0,8175.549787267442
153,buy,108.16663794189026,0.0,8067.383149325552
154,buy,110.13939441286766,0.0,7957.243754912684
157,buy,107.54659895865643,0.0,7849.697155954028
158,sell,106.36569372393024,0.4293275566581768,7956.062849677958
