Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes
2024-08-14,220.943359375,222.24876826808693,218.93043078284688,219.7973936824548,41960600,2024.0,8.0,14.0,217.4988047281901,217.4988047281901,217.4988047281901,99.9999947459958,0.5142394928870999,0.1224349044534892,0.3918045884336106,218.42121572790597,217.4988047281901,1.5501948057094912,220.59919433960908,214.3984151167711,41.13935293017949,0.2033652178973848,4.0867435900324836,216.76803588867188,215.31315848368175,218.7410960979999,214.8448035806853
2024-08-15,223.93284606933594,224.56064415441705,221.97970491871703,223.81327127421198,46414000,2024.0,8.0,15.0,218.35994338989255,218.35994338989255,218.35994338989255,99.999995401991,0.8511318495251317,0.2681742934678178,0.5829575560573139,219.6235906650046,218.35994338989255,1.6700606893776282,221.70006476864785,215.0198220111373,40.99335756045374,1.3530556893823538,3.992851827909397,220.4949493408203,218.2428558389481,221.11277276612057,218.2428558389481
2024-08-16,225.25819396972656,226.03546056539557,222.86659157853387,223.1356500786779,44340200,2024.0,8.0,16.0,219.47452392578128,219.47452392578128,219.47452392578128,99.99999501235216,1.3438569153905462,0.4833108178523635,0.8605460975381827,220.59535119321984,219.47452392578128,1.4677692873703736,222.410062500522,216.5389853510405,41.14373254407341,0.591850603274278,3.8555213544014464,220.943359375,219.7973936824548,222.24876826808693,218.93043078284688
2024-08-19,225.09873962402344,225.19839542072495,222.2587166767679,224.92933693390268,40687800,2024.0,8.0,19.0,221.47947692871097,220.43846893310547,220.43846893310547,98.43429397318693,1.8203062221209336,0.7507098987060776,1.069596323414856,221.21066549037272,220.43846893310547,1.3266846754306028,223.09183828396667,217.78509958224427,40.725211711003894,-0.0707873675505694,3.733229345623905,223.9328460693359,223.813271274212,224.56064415441705,221.97970491871703
2024-08-20,225.71658325195312,226.3742750764108,224.6602986155859,224.9791850293864,30299000,2024.0,8.0,20.0,223.14561767578124,221.1042218889509,221.1042218889509,98.52384645837525,2.160128480761074,1.032593615117077,1.127534865643997,221.62678977663776,221.1042218889509,1.4794763637473936,224.06317461644568,218.1452691614561,40.90351186112535,0.2744767158455243,3.480822735024031,225.25819396972656,223.1356500786779,226.03546056539557,222.86659157853387
2024-08-21,225.60696411132812,227.18143154067607,224.26170199000447,225.7265541171402,34765500,2024.0,8.0,21.0,224.1899444580078,221.68076705932617,221.68076705932617,97.5340716177216,2.4510408134819386,1.3162830547900493,1.134757758691889,222.0081373031718,221.68076705932617,1.4051811649814652,224.4911293892891,218.87040472936323,40.743630928852774,-0.0485649477081792,3.4184790478737614,225.09873962402344,224.92933693390268,225.19839542072495,222.2587166767679
2024-08-22,223.74349975585938,227.54015139464096,223.11570169720306,226.9920749311584,43695300,2024.0,8.0,22.0,225.12266540527344,222.11701117621527,222.11701117621527,83.30713002649867,2.642286945410177,1.5814838329140748,1.0608031124961024,222.19465229005627,222.11701117621527,1.4196300056230662,224.9562711874614,219.27775116496915,40.72674496761359,-0.8259782063062574,3.519076112830174,225.71658325195312,224.9791850293864,226.3742750764108,224.6602986155859
2024-08-23,226.04542541503906,227.42059644239848,223.5442228703079,224.86956599566977,38677300,2024.0,8.0,23.0,225.0847961425781,222.2796600341797,222.2796600341797,85.8557505061351,2.6133596991010393,1.787859006151468,0.8255006929495714,222.52917440301837,222.2796600341797,1.6950078229327394,225.66967568004517,218.88964438831425,40.7131541345275,1.028823479426872,3.551557700035666,225.60696411132812,225.7265541171402,227.18143154067607,224.26170199000447
2024-08-26,226.38421630859375,226.48387210620078,223.10574735994538,225.96568932825608,30602200,2024.0,8.0,26.0,225.24224243164065,223.3608596801758,222.62200234153053,86.1665948607877,2.744543422535827,1.97919588942834,0.765347533107487,222.77710650480324,222.62200234153053,1.654628485467135,225.9312593124648,219.31274537059628,40.871601112248065,0.1498773500647659,3.5371049538873103,223.74349975585935,226.9920749311584,227.54015139464096,223.11570169720304
2024-08-27,227.23126220703125,228.0483972344343,224.10226151212836,225.208374045966,35934600,2024.0,8.0,27.0,225.49933776855468,224.32247772216795,222.9355201721191,86.88710062330327,2.8430718990998116,2.1519710913626344,0.6911008077371772,223.0898660685791,222.9355201721191,1.5855984090443105,226.10671699020776,219.76432335403052,40.96827315578743,0.3741629660624646,3.568568859150282,226.04542541503903,224.86956599566977,227.42059644239848,223.5442228703079
2024-08-28,225.69664001464844,229.05483047059747,224.8894645684117,227.1216236092518,38052200,2024.0,8.0,28.0,225.80227355957032,224.99610900878903,223.26596186711237,79.39511362583721,2.955437507689396,2.3126643746279867,0.6427731330614095,223.27027896762223,223.26596186711237,1.5125741063068674,226.2911100797261,220.24081365449865,40.92920109104284,-0.6753569810234177,3.6111972193671016,226.38421630859375,225.96568932825608,226.4838721062008,223.10574735994535
2024-08-29,228.98509216308594,232.10413336375854,228.07829123837303,229.29401907737392,51906300,2024.0,8.0,29.0,225.82020874023436,225.4714370727539,223.4395817347935,82.60853599931816,2.887373037446281,2.4276061071916457,0.4597669302546352,223.76325711055864,223.4395817347935,1.6097611575991029,226.65910404999175,220.22005941959532,41.52183096658635,1.4570230856002415,3.726903352865924,227.23126220703125,225.208374045966,228.0483972344343,224.10226151212836
2024-08-30,228.19786071777344,229.59295072736154,226.68318070354871,229.38369482859366,52990800,2024.0,8.0,30.0,226.8685272216797,225.9766616821289,223.809282430013,78.09883243097318,3.0634683043682287,2.5547785466269626,0.5086897577412661,224.12218381961736,223.809282430013,1.683028472262304,227.17533937453763,220.4432254854884,40.9878108527985,-0.3437915708293465,3.65643746047294,225.69664001464844,227.1216236092518,229.05483047059747,224.8894645684117
