Day,Action,Price,Return,Total Balance
171,buy,199.4784240722656,0.0,8617.167831420898
173,buy,208.09710693359375,0.0,8409.070724487305
174,sell,209.00592041015625,-6.525525843785288,8618.076644897461
177,sell,212.22171020507812,12.803905169259039,8830.298355102539
179,sell,205.08106994628903,13.16542990584248,9035.379425048828
180,sell,198.62953186035156,15.352046390408297,9234.00895690918
182,sell,195.99298095703125,-0.9588670664265753,9430.001937866211
183,buy,197.2313690185547,0.0,9232.770568847656
184,buy,198.27000427246097,0.0,9034.500564575195
185,sell,210.7899932861328,4.4159536837897955,9245.290557861328
186,buy,212.92999267578125,0.0,9032.360565185547
187,sell,212.3300018310547,7.934023017481263,9244.690567016602
189,sell,211.2599945068359,9.513891992433358,9455.950561523438
191,sell,206.86000061035156,3.7004385674371587,9662.810562133789
193,buy,201.36000061035156,0.0,9461.450561523438
194,buy,195.27000427246097,0.0,9266.180557250977
195,sell,200.2100067138672,-3.7901056559346737,9466.390563964844
197,buy,199.9499969482422,0.0,9266.440567016602
198,buy,200.8500061035156,0.0,9065.590560913086
199,sell,201.6999969482422,2.2656780977204036,9267.290557861328
201,sell,202.82000732421875,2.29485194619011,9470.110565185547
202,buy,200.6300048828125,0.0,9269.480560302734
205,buy,202.6699981689453,0.0,9066.810562133789
207,buy,199.1999969482422,0.0,8867.610565185547
208,buy,196.4499969482422,0.0,8671.160568237305
209,sell,198.4199981689453,-6.814443716686565,8869.58056640625
211,sell,196.5800018310547,-2.373857153758443,9066.160568237305
212,sell,201.0,2.934396272939058,9267.160568237305
213,sell,201.5,0.7751953365415838,9468.660568237305
215,sell,201.55999755859375,0.3534933699291165,9670.220565795898
216,buy,201.0,0.0,9469.220565795898
217,sell,201.0800018310547,0.22429194900584767,9670.300567626953
219,sell,207.82000732421875,2.5410811673173255,9878.120574951172
220,buy,212.44000244140625,0.0,9665.680572509766
221,sell,213.5500030517578,7.203818435421043,9879.230575561523
223,sell,210.0099945068359,6.902518589586089,10089.24057006836
225,sell,212.41000366210935,5.676618737367834,10301.650573730469
226,sell,211.16000366210935,-0.6025224838010176,10512.810577392578
228,buy,209.11000061035156,0.0,10303.700576782227
229,sell,210.16000366210935,0.502129524505298,10513.860580444336
232,buy,212.47999572753903,0.0,10301.380584716797
233,buy,214.3999938964844,0.0,10086.980590820312
235,sell,213.7599945068359,0.602409076164612,10300.740585327148
236,sell,213.8800048828125,-0.2425321961170214,10514.620590209961
241,buy,202.3800048828125,0.0,10312.240585327148
242,sell,203.3500061035156,0.4792969647692087,10515.590591430664
